Time resolution is 1 ps
WARNING: file ../../../../multadd_vectors.txt could not be opened
          1(              600000): PASS, a:         128, b:         256, c:         960, dout:  128

          1(              700000): PASS, a:         128, b:         256, c:         960, dout:  128

          1(              800000): PASS, a:         128, b:         256, c:         960, dout:  128

          2(             1200000): PASS, a:         226, b:         902, c:         797, dout:  948

          2(             1300000): PASS, a:         226, b:         902, c:         797, dout:  948

          2(             1400000): PASS, a:         226, b:         902, c:         797, dout:  948

          3(             1800000): PASS, a:         239, b:         897, c:         199, dout:  725

          3(             1900000): PASS, a:         239, b:         897, c:         199, dout:  725

          3(             2000000): PASS, a:         239, b:         897, c:         199, dout:  725

          4(             2400000): PASS, a:         153, b:         252, c:          36, dout:   63

          4(             2500000): PASS, a:         153, b:         252, c:          36, dout:   63

          4(             2600000): PASS, a:         153, b:         252, c:          36, dout:   63

          5(             3000000): PASS, a:         953, b:         255, c:         933, dout:  240

          5(             3100000): PASS, a:         953, b:         255, c:         933, dout:  240

          5(             3200000): PASS, a:         953, b:         255, c:         933, dout:  240

          6(             3600000): PASS, a:         937, b:         952, c:         794, dout:  113

          6(             3700000): PASS, a:         937, b:         952, c:         794, dout:  113

          6(             3800000): PASS, a:         937, b:         952, c:         794, dout:  113

          7(             4200000): PASS, a:         886, b:          49, c:          36, dout:   81

          7(             4300000): PASS, a:         886, b:          49, c:          36, dout:   81

          7(             4400000): PASS, a:         886, b:          49, c:          36, dout:   81

          8(             4800000): PASS, a:         949, b:         769, c:        1013, dout:  907

          8(             4900000): PASS, a:         949, b:         769, c:        1013, dout:  907

          8(             5000000): PASS, a:         949, b:         769, c:        1013, dout:  907

          9(             5400000): PASS, a:         844, b:         857, c:          90, dout:  964

          9(             5500000): PASS, a:         844, b:         857, c:          90, dout:  964

          9(             5600000): PASS, a:         844, b:         857, c:          90, dout:  964

         10(             6000000): PASS, a:         895, b:          56, c:          21, dout:   89

         10(             6100000): PASS, a:         895, b:          56, c:          21, dout:   89

         10(             6200000): PASS, a:         895, b:          56, c:          21, dout:   89

         11(             6600000): PASS, a:         169, b:          92, c:         861, dout:   54

         11(             6700000): PASS, a:         169, b:          92, c:         861, dout:   54

         11(             6800000): PASS, a:         169, b:          92, c:         861, dout:   54

         12(             7200000): PASS, a:         915, b:         150, c:         833, dout:  243

         12(             7300000): PASS, a:         915, b:         150, c:         833, dout:  243

         12(             7400000): PASS, a:         915, b:         150, c:         833, dout:  243

         13(             7800000): PASS, a:         957, b:        1008, c:          97, dout:  999

         13(             7900000): PASS, a:         957, b:        1008, c:          97, dout:  999

         13(             8000000): PASS, a:         957, b:        1008, c:          97, dout:  999

         14(             8400000): PASS, a:          17, b:         813, c:         229, dout:  769

         14(             8500000): PASS, a:          17, b:         813, c:         229, dout:  769

         14(             8600000): PASS, a:          17, b:         813, c:         229, dout:  769

         15(             9000000): PASS, a:         883, b:         784, c:         977, dout:  968

         15(             9100000): PASS, a:         883, b:         784, c:         977, dout:  968

         15(             9200000): PASS, a:         883, b:         784, c:         977, dout:  968

         16(             9600000): PASS, a:         102, b:         166, c:         975, dout:   77

         16(             9700000): PASS, a:         102, b:         166, c:         975, dout:   77

         16(             9800000): PASS, a:         102, b:         166, c:         975, dout:   77

         17(            10200000): PASS, a:         946, b:         249, c:         781, dout:  316

         17(            10300000): PASS, a:         946, b:         249, c:         781, dout:  316

         17(            10400000): PASS, a:         946, b:         249, c:         781, dout:  316

         18(            10800000): PASS, a:         788, b:         142, c:         794, dout:  321

         18(            10900000): PASS, a:         788, b:         142, c:         794, dout:  321

         18(            11000000): PASS, a:         788, b:         142, c:         794, dout:  321

         19(            11400000): PASS, a:         942, b:         253, c:         841, dout:  290

         19(            11500000): PASS, a:         942, b:         253, c:         841, dout:  290

         19(            11600000): PASS, a:         942, b:         253, c:         841, dout:  290

Simulation finished.

PASS: All vectors passed.

